work_year,job_title,salary_in_usd,experience_level,employment_type,work_setting,company_location
2023,Machine Learning Engineer,309000,Senior,Full-time,In-person,United States
2023,Research Engineer,308000,Senior,Full-time,In-person,United States
2023,Data Scientist,308000,Senior,Full-time,In-person,United States
2023,Data Scientist,308000,Senior,Full-time,In-person,United States
2023,Research Engineer,308000,Senior,Full-time,In-person,United States
2023,Data Scientist,307100,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,306400,Senior,Full-time,In-person,Canada
2023,Research Engineer,306000,Senior,Full-time,In-person,United States
2023,Data Architect,306000,Senior,Full-time,Remote,United States
2023,Data Architect,306000,Senior,Full-time,Remote,United States
2023,Data Architect,306000,Senior,Full-time,Remote,United States
2023,Data Architect,306000,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,305600,Senior,Full-time,In-person,United States
2023,Data Scientist,305600,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,305600,Senior,Full-time,In-person,United States
2023,AI Architect,305100,Senior,Full-time,Remote,United States
2023,Data Engineer,305000,Senior,Full-time,Remote,United States
2023,ML Engineer,305000,Senior,Full-time,In-person,United States
2023,Data Engineer,304750,Senior,Full-time,In-person,United States
2023,Data Engineer,304200,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,304000,Senior,Full-time,Remote,United States
2023,Deep Learning Engineer,303387,Senior,Full-time,Remote,Canada
2023,Research Scientist,303050,Senior,Full-time,In-person,United States
2023,Research Scientist,303050,Senior,Full-time,In-person,United States
2023,Research Scientist,303050,Senior,Full-time,In-person,United States
2023,Machine Learning Software Engineer,302000,Senior,Full-time,In-person,United States
2023,Data Scientist,300240,Senior,Full-time,In-person,United States
2023,Data Scientist,300240,Senior,Full-time,In-person,United States
2023,Data Infrastructure Engineer,300105,Senior,Full-time,In-person,United States
2023,Research Engineer,300000,Mid-level,Full-time,In-person,United States
2023,Data Engineer,300000,Senior,Full-time,In-person,United States
2023,Data Engineer,300000,Senior,Full-time,In-person,United States
2023,ML Engineer,300000,Senior,Full-time,In-person,United States
2023,Research Scientist,300000,Senior,Full-time,In-person,United States
2023,Data Scientist,300000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,300000,Senior,Full-time,In-person,United States
2023,Data Scientist,300000,Senior,Full-time,In-person,United States
2023,Data Engineer,300000,Senior,Full-time,Remote,United States
2023,Data Scientist,300000,Senior,Full-time,In-person,United States
2023,ML Engineer,300000,Mid-level,Full-time,In-person,Australia
2023,Machine Learning Engineer,300000,Mid-level,Full-time,In-person,United States
2023,Data Engineer,300000,Senior,Full-time,In-person,United States
2023,Research Engineer,300000,Mid-level,Full-time,In-person,United States
2023,Research Scientist,300000,Mid-level,Full-time,In-person,United States
2023,Machine Learning Scientist,300000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,300000,Mid-level,Full-time,In-person,United States
